Base DataSet,Model Method,Parameters,Mean Squared Error,R Squared
"Jul IntMnt Dry Test Scaled features selected via PCA n50, Test Score",Stacking OF Ensemble,"{'stackingPredictorConfiguration': Ridge Regression {'normalize': False, 'alpha': 1.0}, 'basePredictorConfigurations': [Ridge Regression {'alpha': 1.0, 'normalize': False}, Random Forest {'max_features': 10, 'random_state': 47392, 'n_estimators': 20}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 10}], 'includeOriginalFeatures': True}",0.025595241713700038,0.6312772646229189
"Jul IntMnt Dry Test Scaled features selected via PCA n20, Test Score",Stacking OF Ensemble,"{'stackingPredictorConfiguration': Random Forest {'max_features': None, 'random_state': 47392, 'n_estimators': 20}, 'basePredictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': True}, Random Forest {'max_features': 10, 'random_state': 47392, 'n_estimators': 20}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}], 'includeOriginalFeatures': True}",0.025635149165677606,0.6307023614819487
"Jul IntMnt Dry Test features selected via ICA n50, Test Score",K Nearest Neighbors,"{'metric': 'minkowski', 'n_neighbors': 10}",0.026212157699428723,0.6223900287725939
"Jul IntMnt Dry Test Scaled features selected via PCA n50, Test Score",Stacking Ensemble,"{'stackingPredictorConfiguration': Ridge Regression {'normalize': False, 'alpha': 1.0}, 'basePredictorConfigurations': [Ridge Regression {'alpha': 1.0, 'normalize': False}, Random Forest {'max_features': 10, 'random_state': 47392, 'n_estimators': 20}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 10}]}",0.02655310455974636,0.6174783791636255
"Jul IntMnt Dry Test, Test Score",K Nearest Neighbors,"{'metric': 'minkowski', 'n_neighbors': 5}",0.026749845992182966,0.6146441398959728
"Jul IntMnt Dry Test features selected via Variance Threshold .1, Test Score",K Nearest Neighbors,"{'metric': 'minkowski', 'n_neighbors': 5}",0.026749845992182966,0.6146441398959728
"Jul IntMnt Dry Test features selected via PCA n50, Test Score",K Nearest Neighbors,"{'metric': 'minkowski', 'n_neighbors': 5}",0.026749845992182966,0.6146441398959728
"Jul IntMnt Dry Test features selected via PCA n20, Test Score",K Nearest Neighbors,"{'metric': 'minkowski', 'n_neighbors': 5}",0.026974897957663113,0.6114020616518197
"Jul IntMnt Dry Test features selected via PCA n20, Test Score",Stacking OF Ensemble,"{'stackingPredictorConfiguration': Random Forest {'max_features': None, 'random_state': 47392, 'n_estimators': 20}, 'basePredictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': True}, Random Forest {'max_features': 10, 'random_state': 47392, 'n_estimators': 20}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}], 'includeOriginalFeatures': True}",0.02700990011363676,0.6108978237610796
"Jul IntMnt Dry Test features selected via PCA n20, Test Score",Stacking Ensemble,"{'stackingPredictorConfiguration': Random Forest {'max_features': None, 'random_state': 47392, 'n_estimators': 20}, 'basePredictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': True}, Random Forest {'max_features': 10, 'random_state': 47392, 'n_estimators': 20}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}]}",0.028795188974129585,0.5851791140320444
"Jul IntMnt Dry Test Scaled features selected via PCA n20, Test Score",Averaging Ensemble,"{'weights': [0.49515095984080365, 0.58145998537998178, 0.40877846531512224], 'predictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': True}, Random Forest {'max_features': 10, 'random_state': 47392, 'n_estimators': 20}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}]}",0.029058584000732024,0.5813846691199813
"Jul IntMnt Dry Test Scaled features selected via ICA n50, Test Score",Stacking OF Ensemble,"{'stackingPredictorConfiguration': Ridge Regression {'normalize': False, 'alpha': 0.1}, 'basePredictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': False}, Random Forest {'max_features': 10, 'random_state': 47392, 'n_estimators': 20}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 10}], 'includeOriginalFeatures': True}",0.029344975756988533,0.5772589354020683
"Jul IntMnt Dry Test Scaled features selected via PCA n50, Test Score",Random Forest,"{'max_features': 10, 'random_state': 47392, 'n_estimators': 20}",0.029992684645341043,0.5679280997837607
"Jul IntMnt Dry Test Scaled features selected via ICA n50, Test Score",Stacking Ensemble,"{'stackingPredictorConfiguration': Ridge Regression {'normalize': False, 'alpha': 0.1}, 'basePredictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': False}, Random Forest {'max_features': 10, 'random_state': 47392, 'n_estimators': 20}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 10}]}",0.030100828688175457,0.5663701864913342
"Jul IntMnt Dry Test Scaled features selected via ICA n20, Test Score",Stacking OF Ensemble,"{'stackingPredictorConfiguration': Ridge Regression {'normalize': True, 'alpha': 0.1}, 'basePredictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': True}, Random Forest {'max_features': 10, 'random_state': 47392, 'n_estimators': 20}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}], 'includeOriginalFeatures': True}",0.03149983782366817,0.5462161875165839
"Jul IntMnt Ref Test, Test Score",K Nearest Neighbors,"{'metric': 'minkowski', 'n_neighbors': 5}",0.03189156952458993,0.5405729360906568
"Jul IntMnt Ref Test features selected via Variance Threshold .1, Test Score",K Nearest Neighbors,"{'metric': 'minkowski', 'n_neighbors': 5}",0.03189156952458993,0.5405729360906568
"Jul IntMnt Ref Test features selected via PCA n50, Test Score",K Nearest Neighbors,"{'metric': 'minkowski', 'n_neighbors': 5}",0.03189156952458993,0.5405729360906568
"Jul IntMnt Dry Test Scaled features selected via ICA n50, Test Score",Random Forest,"{'max_features': 10, 'random_state': 47392, 'n_estimators': 20}",0.03220187647271218,0.5361026822834067
"Jul IntMnt Dry Test Scaled features selected via ICA n20, Test Score",Stacking Ensemble,"{'stackingPredictorConfiguration': Ridge Regression {'normalize': True, 'alpha': 0.1}, 'basePredictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': True}, Random Forest {'max_features': 10, 'random_state': 47392, 'n_estimators': 20}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}]}",0.032397773764277216,0.5332806036327427
"Jul IntMnt Ref Test features selected via PCA n20, Test Score",K Nearest Neighbors,"{'metric': 'minkowski', 'n_neighbors': 5}",0.03248110744477698,0.5320801061744018
"Jul IntMnt Dry Test Scaled features selected via ICA n20, Test Score",Averaging Ensemble,"{'weights': [0.49582507591187425, 0.48251470352394238, 0.44461249872349967], 'predictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': True}, Random Forest {'max_features': 10, 'random_state': 47392, 'n_estimators': 20}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}]}",0.03260050478623266,0.5303600788806286
"Jul IntMnt Dry Test features selected via ICA n50, Test Score",Random Forest,"{'max_features': 10, 'random_state': 47392, 'n_estimators': 20}",0.03288775630886856,0.5262219594460757
"Jul IntMnt Dry Test Scaled features selected via ICA n20, Test Score",Random Forest,"{'max_features': 10, 'random_state': 47392, 'n_estimators': 20}",0.03312779183431402,0.5227640293932976
"Jul IntMnt Ref Test Scaled features selected via PCA n20, Test Score",Stacking OF Ensemble,"{'stackingPredictorConfiguration': Random Forest {'max_features': None, 'random_state': 47392, 'n_estimators': 20}, 'basePredictorConfigurations': [Ridge Regression {'alpha': 1.0, 'normalize': False}, Random Forest {'max_features': 10, 'random_state': 47392, 'n_estimators': 20}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 10}], 'includeOriginalFeatures': True}",0.03367216779081068,0.5149217986381363
"Jul IntMnt Dry Test features selected via ICA n20, Test Score",Random Forest,"{'max_features': 'sqrt', 'random_state': 47392, 'n_estimators': 20}",0.03425648093298706,0.5065042364009831
"Jul IntMnt Ref Test features selected via Variance Threshold .1, Test Score",Averaging Ensemble,"{'weights': [0.75097107076543945, 0.72684583841259365, 0.70614475854791781], 'predictorConfigurations': [Ridge Regression {'alpha': 1.0, 'normalize': False}, Random Forest {'max_features': 'sqrt', 'random_state': 47392, 'n_estimators': 20}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}]}",0.0343354434894276,0.5053667089601876
"Jul IntMnt Ref Test features selected via PCA n20, Test Score",Stacking Ensemble,"{'stackingPredictorConfiguration': Random Forest {'max_features': None, 'random_state': 47392, 'n_estimators': 20}, 'basePredictorConfigurations': [Ridge Regression {'alpha': 1.0, 'normalize': False}, Random Forest {'max_features': 10, 'random_state': 47392, 'n_estimators': 20}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}]}",0.03462331727256119,0.501219625297229
"Jul IntMnt Ref Test features selected via PCA n50, Test Score",Averaging Ensemble,"{'weights': [0.72498132169720952, 0.69617624241061415, 0.70595948953066645], 'predictorConfigurations': [Ridge Regression {'alpha': 1.0, 'normalize': False}, Random Forest {'max_features': 10, 'random_state': 47392, 'n_estimators': 20}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}]}",0.03467026409042819,0.500543313688423
"Jul IntMnt Ref Test, Test Score",Averaging Ensemble,"{'weights': [0.75097082241268887, 0.71805887582532302, 0.70614475854791781], 'predictorConfigurations': [Ridge Regression {'alpha': 1.0, 'normalize': False}, Random Forest {'max_features': 'sqrt', 'random_state': 47392, 'n_estimators': 20}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}]}",0.03488468214454018,0.49745442660891226
"Jul IntMnt Dry Test Scaled features selected via ICA n50, Test Score",K Nearest Neighbors,"{'metric': 'minkowski', 'n_neighbors': 10}",0.0351028056122855,0.49431215967599473
"Jul IntMnt Ref Test Scaled features selected via PCA n20, Test Score",Stacking Ensemble,"{'stackingPredictorConfiguration': Random Forest {'max_features': None, 'random_state': 47392, 'n_estimators': 20}, 'basePredictorConfigurations': [Ridge Regression {'alpha': 1.0, 'normalize': False}, Random Forest {'max_features': 10, 'random_state': 47392, 'n_estimators': 20}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 10}]}",0.035482712299848784,0.4888392583221699
"Jul IntMnt Dry Test Scaled, Test Score",K Nearest Neighbors,"{'metric': 'minkowski', 'n_neighbors': 5}",0.037225505522817115,0.4637327369008247
"Jul IntMnt Ref Test features selected via PCA n20, Test Score",Stacking OF Ensemble,"{'stackingPredictorConfiguration': Random Forest {'max_features': None, 'random_state': 47392, 'n_estimators': 20}, 'basePredictorConfigurations': [Ridge Regression {'alpha': 1.0, 'normalize': False}, Random Forest {'max_features': 10, 'random_state': 47392, 'n_estimators': 20}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}], 'includeOriginalFeatures': True}",0.03785066027795709,0.4547268140840919
"Jul IntMnt Dry Test Scaled features selected via PCA n20, Test Score",Ridge Regression,"{'alpha': 0.1, 'normalize': True}",0.038117146020422585,0.4508878445990615
"Jul IntMnt Dry Test Scaled features selected via ICA n20, Test Score",Ridge Regression,"{'alpha': 0.1, 'normalize': True}",0.038117146020422606,0.4508878445990613
