STAID,ID,Month,Year,qmeas,X.1,granitic,sedimentary,volcanic,SGEO8,SGEO44,HLR16,HLR18,HLR19,HLR20
T10308200,T10308200,7,1962,304.65,0.03451776649746194,0.0,0.0,1.0,0.585,0.0,0.11122244488977955,0.29100000000000004,0.11835506519558676,0.48096192384769537
T10308200,T10308200,7,1989,170.45,0.03451776649746194,0.0,0.0,1.0,0.585,0.0,0.11122244488977955,0.29100000000000004,0.11835506519558676,0.48096192384769537
T10308200,T10308200,7,2001,93.03,0.03451776649746194,0.0,0.0,1.0,0.585,0.0,0.11122244488977955,0.29100000000000004,0.11835506519558676,0.48096192384769537
T10308200,T10308200,7,1969,661.84,0.03451776649746194,0.0,0.0,1.0,0.585,0.0,0.11122244488977955,0.29100000000000004,0.11835506519558676,0.48096192384769537
T10308200,T10308200,7,1968,153.68,0.03451776649746194,0.0,0.0,1.0,0.585,0.0,0.11122244488977955,0.29100000000000004,0.11835506519558676,0.48096192384769537
T10308200,T10308200,7,2006,551.68,0.03451776649746194,0.0,0.0,1.0,0.585,0.0,0.11122244488977955,0.29100000000000004,0.11835506519558676,0.48096192384769537
T10308200,T10308200,7,2000,169.52,0.03451776649746194,0.0,0.0,1.0,0.585,0.0,0.11122244488977955,0.29100000000000004,0.11835506519558676,0.48096192384769537
T10308200,T10308200,7,1976,103.74,0.03451776649746194,0.0,0.0,1.0,0.585,0.0,0.11122244488977955,0.29100000000000004,0.11835506519558676,0.48096192384769537
T10308200,T10308200,7,1994,88.94,0.03451776649746194,0.0,0.0,1.0,0.585,0.0,0.11122244488977955,0.29100000000000004,0.11835506519558676,0.48096192384769537
T10308200,T10308200,7,2003,198.87,0.03451776649746194,0.0,0.0,1.0,0.585,0.0,0.11122244488977955,0.29100000000000004,0.11835506519558676,0.48096192384769537
T10308200,T10308200,7,2002,129.55,0.03451776649746194,0.0,0.0,1.0,0.585,0.0,0.11122244488977955,0.29100000000000004,0.11835506519558676,0.48096192384769537
T10308200,T10308200,7,1995,1721.0,0.03451776649746194,0.0,0.0,1.0,0.585,0.0,0.11122244488977955,0.29100000000000004,0.11835506519558676,0.48096192384769537
T10308200,T10308200,7,2004,106.77,0.03451776649746194,0.0,0.0,1.0,0.585,0.0,0.11122244488977955,0.29100000000000004,0.11835506519558676,0.48096192384769537
T10308200,T10308200,7,1971,516.74,0.03451776649746194,0.0,0.0,1.0,0.585,0.0,0.11122244488977955,0.29100000000000004,0.11835506519558676,0.48096192384769537
T10308200,T10308200,7,1998,1033.16,0.03451776649746194,0.0,0.0,1.0,0.585,0.0,0.11122244488977955,0.29100000000000004,0.11835506519558676,0.48096192384769537
T10308200,T10308200,7,1963,449.77,0.03451776649746194,0.0,0.0,1.0,0.585,0.0,0.11122244488977955,0.29100000000000004,0.11835506519558676,0.48096192384769537
T10308200,T10308200,7,1982,787.48,0.03451776649746194,0.0,0.0,1.0,0.585,0.0,0.11122244488977955,0.29100000000000004,0.11835506519558676,0.48096192384769537
T10336580,T10336580,7,2004,8.66,0.09137055837563454,1.0,0.0,0.0,1.0,0.0,0.0,0.997,0.0,0.0
T10336580,T10336580,7,2010,41.65,0.09137055837563454,1.0,0.0,0.0,1.0,0.0,0.0,0.997,0.0,0.0
T10336580,T10336580,7,1995,220.42,0.09137055837563454,1.0,0.0,0.0,1.0,0.0,0.0,0.997,0.0,0.0
T10336580,T10336580,7,2005,58.42,0.09137055837563454,1.0,0.0,0.0,1.0,0.0,0.0,0.997,0.0,0.0
T10336580,T10336580,7,1999,44.9,0.09137055837563454,1.0,0.0,0.0,1.0,0.0,0.0,0.997,0.0,0.0
T10336580,T10336580,7,2009,13.3,0.09137055837563454,1.0,0.0,0.0,1.0,0.0,0.0,0.997,0.0,0.0
T10336580,T10336580,7,1996,45.52,0.09137055837563454,1.0,0.0,0.0,1.0,0.0,0.0,0.997,0.0,0.0
T10336580,T10336580,7,2011,167.55,0.09137055837563454,1.0,0.0,0.0,1.0,0.0,0.0,0.997,0.0,0.0
T10336580,T10336580,7,2006,54.23,0.09137055837563454,1.0,0.0,0.0,1.0,0.0,0.0,0.997,0.0,0.0
T10336580,T10336580,7,1997,17.18,0.09137055837563454,1.0,0.0,0.0,1.0,0.0,0.0,0.997,0.0,0.0
T10336580,T10336580,7,2001,3.75,0.09137055837563454,1.0,0.0,0.0,1.0,0.0,0.0,0.997,0.0,0.0
T10336580,T10336580,7,2003,17.99,0.09137055837563454,1.0,0.0,0.0,1.0,0.0,0.0,0.997,0.0,0.0
T10336580,T10336580,7,2000,11.65,0.09137055837563454,1.0,0.0,0.0,1.0,0.0,0.0,0.997,0.0,0.0
T10336580,T10336580,7,2002,10.99,0.09137055837563454,1.0,0.0,0.0,1.0,0.0,0.0,0.997,0.0,0.0
T10336580,T10336580,7,1992,6.25,0.09137055837563454,1.0,0.0,0.0,1.0,0.0,0.0,0.997,0.0,0.0
T10336580,T10336580,7,2007,4.4,0.09137055837563454,1.0,0.0,0.0,1.0,0.0,0.0,0.997,0.0,0.0
T10336580,T10336580,7,1998,143.48,0.09137055837563454,1.0,0.0,0.0,1.0,0.0,0.0,0.997,0.0,0.0
T10336580,T10336580,7,1993,56.03,0.09137055837563454,1.0,0.0,0.0,1.0,0.0,0.0,0.997,0.0,0.0
T10336580,T10336580,7,1991,12.32,0.09137055837563454,1.0,0.0,0.0,1.0,0.0,0.0,0.997,0.0,0.0
T10336580,T10336580,7,1994,3.4,0.09137055837563454,1.0,0.0,0.0,1.0,0.0,0.0,0.997,0.0,0.0
T10336580,T10336580,7,1990,9.49,0.09137055837563454,1.0,0.0,0.0,1.0,0.0,0.0,0.997,0.0,0.0
T10336580,T10336580,7,2008,7.87,0.09137055837563454,1.0,0.0,0.0,1.0,0.0,0.0,0.997,0.0,0.0
T10336600,T10336600,7,1973,25.35,0.09238578680203044,1.0,0.0,0.0,1.0,0.0,0.003006012024048096,0.993,0.0,0.0
T10336600,T10336600,7,1982,123.71,0.09238578680203044,1.0,0.0,0.0,1.0,0.0,0.003006012024048096,0.993,0.0,0.0
T10336600,T10336600,7,1978,83.29,0.09238578680203044,1.0,0.0,0.0,1.0,0.0,0.003006012024048096,0.993,0.0,0.0
T10336600,T10336600,7,1980,119.52,0.09238578680203044,1.0,0.0,0.0,1.0,0.0,0.003006012024048096,0.993,0.0,0.0
T10336600,T10336600,7,1981,7.23,0.09238578680203044,1.0,0.0,0.0,1.0,0.0,0.003006012024048096,0.993,0.0,0.0
T10336600,T10336600,7,1983,274.1,0.09238578680203044,1.0,0.0,0.0,1.0,0.0,0.003006012024048096,0.993,0.0,0.0
T10336600,T10336600,7,1974,71.94,0.09238578680203044,1.0,0.0,0.0,1.0,0.0,0.003006012024048096,0.993,0.0,0.0
T10336600,T10336600,7,1975,103.45,0.09238578680203044,1.0,0.0,0.0,1.0,0.0,0.003006012024048096,0.993,0.0,0.0
T10336600,T10336600,7,1976,5.27,0.09238578680203044,1.0,0.0,0.0,1.0,0.0,0.003006012024048096,0.993,0.0,0.0
T10336600,T10336600,7,1965,103.19,0.09238578680203044,1.0,0.0,0.0,1.0,0.0,0.003006012024048096,0.993,0.0,0.0
T10336600,T10336600,7,1966,12.9,0.09238578680203044,1.0,0.0,0.0,1.0,0.0,0.003006012024048096,0.993,0.0,0.0
T10336600,T10336600,7,1985,14.42,0.09238578680203044,1.0,0.0,0.0,1.0,0.0,0.003006012024048096,0.993,0.0,0.0
T10336600,T10336600,7,1964,20.8,0.09238578680203044,1.0,0.0,0.0,1.0,0.0,0.003006012024048096,0.993,0.0,0.0
T10336600,T10336600,7,1977,7.9,0.09238578680203044,1.0,0.0,0.0,1.0,0.0,0.003006012024048096,0.993,0.0,0.0
T10336600,T10336600,7,1984,62.71,0.09238578680203044,1.0,0.0,0.0,1.0,0.0,0.003006012024048096,0.993,0.0,0.0
T10336600,T10336600,7,1986,54.77,0.09238578680203044,1.0,0.0,0.0,1.0,0.0,0.003006012024048096,0.993,0.0,0.0
T10336600,T10336600,7,1979,30.06,0.09238578680203044,1.0,0.0,0.0,1.0,0.0,0.003006012024048096,0.993,0.0,0.0
T10336600,T10336600,7,1962,45.81,0.09238578680203044,1.0,0.0,0.0,1.0,0.0,0.003006012024048096,0.993,0.0,0.0
T10336600,T10336600,7,1969,122.29,0.09238578680203044,1.0,0.0,0.0,1.0,0.0,0.003006012024048096,0.993,0.0,0.0
T10336600,T10336600,7,1967,224.03,0.09238578680203044,1.0,0.0,0.0,1.0,0.0,0.003006012024048096,0.993,0.0,0.0
T10336600,T10336600,7,1970,44.77,0.09238578680203044,1.0,0.0,0.0,1.0,0.0,0.003006012024048096,0.993,0.0,0.0
