STAID,ID,Month,Year,qmeas,0,1,2,3,4,5,6,7,8,9
T11230500,T11230500,7,1978,497.23,857.0539142572983,-183.63563710352742,654.1409261883056,150.50706088430292,380.97420102432307,149.7807998362608,0.9806622980147301,123.52768112616346,66.04731108939556,-84.61187905681237
T11281000,T11281000,7,1964,15.92,-384.53542865855854,191.77549011394782,-522.8486403157456,162.85638248027908,108.06047016858015,24.669027833652628,-80.20650863874138,-118.14153590160609,-23.733048159606124,130.71879584706824
T10281800,T10281800,7,1962,40.52,1059.0521098410886,568.1446569994459,99.53850786588809,-200.12434028723604,216.7302094293948,-40.56353355043806,93.83071292598848,155.4445161021857,75.1501982175555,-15.693945692847082
T10308200,T10308200,7,2006,551.68,507.9923999322622,-95.98022700298155,-202.3977799162271,-551.9907834432711,-165.36829093806477,201.36290815603536,-29.909650826283738,40.21102821687755,-48.9835889973569,-132.25724816311651
T10343500,T10343500,7,1978,8.1,47.0012344758064,378.529409363719,108.92773889699251,-362.7085803599403,-7.485982257452008,57.457943317626366,95.69669496575133,-18.240390098314503,-95.65792072085296,32.27267691233275
T11266500,T11266500,7,1971,570.9,443.57513713991955,-499.6766503047636,-308.879016487701,214.5185310716148,-271.6395908818109,56.07700177309275,-43.47785656699528,-57.777634247265496,123.66940767195304,34.94324893726301
T11237500,T11237500,7,1967,114.06,68.61208815004595,-21.3126846884356,327.5773890747437,85.47034076548782,147.23542283889404,357.57022549701594,-182.87505074964776,-35.97686368217753,-120.2821642332401,-139.18772947679713
T11427700,T11427700,7,1969,9.57,-757.6248990141594,-451.1414601609461,689.7697165053312,61.64471618183737,27.3965501157315,6.96853156208203,374.1763654034194,-98.78349899394894,44.56391440131562,178.43536029734966
T10336580,T10336580,7,1996,45.52,217.67913013293426,73.19455151596199,652.5570926934297,-423.77629446107466,-103.51029721338956,-53.25380477241282,89.29244898624124,-10.09744363324204,-28.536240692016904,-130.55473634549705
T11230500,T11230500,7,2011,497.45,898.6046114014391,-127.20822267760465,567.1090861039564,263.1368791377351,154.31707740445745,374.0767661761235,-175.2583312433635,170.22122743578214,59.213053183217305,-178.27029206269344
T11264500,T11264500,7,1994,72.06,579.8353683035959,-178.77415440342375,-147.2983249632107,383.622536884826,-77.84402211347496,-165.59465484879735,60.77752779691134,-84.94110522041609,127.93210689093581,-59.70724906201931
T10343500,T10343500,7,1995,27.22,-84.2579142380146,159.65093328157693,482.77819182808264,-624.1267815250253,141.89404760295878,88.38253498001363,-236.75668783464562,-204.96295346490447,-91.97336682401,133.49649631807986
T10343500,T10343500,7,1980,12.35,-6.211408997606137,282.12923491175735,278.3759884644743,-476.6404523182847,87.01969223446204,-19.243437027938025,164.09989553746126,80.37650175670127,-89.36418452697752,25.446596635963903
T11281000,T11281000,7,1962,23.94,-498.87817359066514,46.12655085694089,-280.8655993646077,-11.03571126423337,276.59271211190196,-139.28500306229458,58.17980353186415,229.92868053046837,98.65299920961361,-78.43560574082129
T10360900,T10360900,7,1963,13.06,108.58860909106754,545.1481877083761,-217.73683159701665,-365.2659566376341,158.0941731972687,66.5212437901177,-141.25700702022624,-64.67065721811099,34.98446745944929,-81.27677650899648
T10336770,T10336770,7,2010,12.47,545.3537658524758,434.50081493026715,104.10791489667852,-128.54602065273173,-84.67319108007584,-68.93180618731581,36.01871930698363,-143.7721607890498,132.52519469036852,-81.56884923691146
T10360900,T10360900,7,1979,10.19,138.33896107559434,572.1577210906336,-267.8305498579185,-348.9021341868402,199.4165994735703,35.3204350344097,-1.7182314025849814,-66.55721953360678,76.69331790677501,-46.77302519678183
T10336770,T10336770,7,1995,62.1,404.67289993879774,204.57193042747943,491.60972772216434,-392.7080146525797,42.15539093927044,4.806628326196015,-217.61443367142044,-292.81517512263997,158.6763390301346,83.99617256898799
T11266500,T11266500,7,1966,153.48,499.50087513114954,-410.49509963777723,-458.4725649671579,313.0905588556947,-312.9417552963162,-12.507069799323627,1.3424380029291545,40.30048033301328,161.44951243069994,113.4766142143833
T10336660,T10336660,7,1975,49.55,57.50149258843058,289.37706129447844,248.76167302659994,-368.36126348317913,-72.78065181353769,-232.99958723233217,-109.1645666170841,39.598278867552814,94.22171441880175,-94.92114347898554
