STAID,ID,Month,Year,qmeas,X.1,granitic,sedimentary,volcanic,SGEO8,SGEO44,HLR16,HLR18,HLR19,HLR20
T10336660,T10336660,7,1964,10.56,0.0984771573604061,0.0,0.0,1.0,1.0,0.0,0.003006012024048096,0.022000000000000002,0.00802407221664995,0.9649298597194388
T10336660,T10336660,7,1999,36.6,0.0984771573604061,0.0,0.0,1.0,1.0,0.0,0.003006012024048096,0.022000000000000002,0.00802407221664995,0.9649298597194388
T10336660,T10336660,7,1977,3.73,0.0984771573604061,0.0,0.0,1.0,1.0,0.0,0.003006012024048096,0.022000000000000002,0.00802407221664995,0.9649298597194388
T10336660,T10336660,7,2001,2.76,0.0984771573604061,0.0,0.0,1.0,1.0,0.0,0.003006012024048096,0.022000000000000002,0.00802407221664995,0.9649298597194388
T10336660,T10336660,7,1991,10.31,0.0984771573604061,0.0,0.0,1.0,1.0,0.0,0.003006012024048096,0.022000000000000002,0.00802407221664995,0.9649298597194388
T10336660,T10336660,7,1961,5.85,0.0984771573604061,0.0,0.0,1.0,1.0,0.0,0.003006012024048096,0.022000000000000002,0.00802407221664995,0.9649298597194388
T10336660,T10336660,7,1988,3.64,0.0984771573604061,0.0,0.0,1.0,1.0,0.0,0.003006012024048096,0.022000000000000002,0.00802407221664995,0.9649298597194388
T10336660,T10336660,7,1985,5.75,0.0984771573604061,0.0,0.0,1.0,1.0,0.0,0.003006012024048096,0.022000000000000002,0.00802407221664995,0.9649298597194388
T10336660,T10336660,7,1994,3.15,0.0984771573604061,0.0,0.0,1.0,1.0,0.0,0.003006012024048096,0.022000000000000002,0.00802407221664995,0.9649298597194388
T10336660,T10336660,7,1966,5.93,0.0984771573604061,0.0,0.0,1.0,1.0,0.0,0.003006012024048096,0.022000000000000002,0.00802407221664995,0.9649298597194388
T10336660,T10336660,7,2009,7.9,0.0984771573604061,0.0,0.0,1.0,1.0,0.0,0.003006012024048096,0.022000000000000002,0.00802407221664995,0.9649298597194388
T10336660,T10336660,7,1987,3.11,0.0984771573604061,0.0,0.0,1.0,1.0,0.0,0.003006012024048096,0.022000000000000002,0.00802407221664995,0.9649298597194388
T10336660,T10336660,7,1976,3.37,0.0984771573604061,0.0,0.0,1.0,1.0,0.0,0.003006012024048096,0.022000000000000002,0.00802407221664995,0.9649298597194388
T10336660,T10336660,7,2008,6.19,0.0984771573604061,0.0,0.0,1.0,1.0,0.0,0.003006012024048096,0.022000000000000002,0.00802407221664995,0.9649298597194388
T10336660,T10336660,7,2007,4.41,0.0984771573604061,0.0,0.0,1.0,1.0,0.0,0.003006012024048096,0.022000000000000002,0.00802407221664995,0.9649298597194388
T10336660,T10336660,7,1979,10.45,0.0984771573604061,0.0,0.0,1.0,1.0,0.0,0.003006012024048096,0.022000000000000002,0.00802407221664995,0.9649298597194388
T10336660,T10336660,7,2002,8.77,0.0984771573604061,0.0,0.0,1.0,1.0,0.0,0.003006012024048096,0.022000000000000002,0.00802407221664995,0.9649298597194388
T10336660,T10336660,7,2004,9.03,0.0984771573604061,0.0,0.0,1.0,1.0,0.0,0.003006012024048096,0.022000000000000002,0.00802407221664995,0.9649298597194388
T10336660,T10336660,7,1990,5.83,0.0984771573604061,0.0,0.0,1.0,1.0,0.0,0.003006012024048096,0.022000000000000002,0.00802407221664995,0.9649298597194388
T10336660,T10336660,7,1968,7.76,0.0984771573604061,0.0,0.0,1.0,1.0,0.0,0.003006012024048096,0.022000000000000002,0.00802407221664995,0.9649298597194388
T10336674,T10336674,7,2008,2.57,0.09949238578680206,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9919759277833501,0.011022044088176353
T10336674,T10336674,7,2004,4.7,0.09949238578680206,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9919759277833501,0.011022044088176353
T10336674,T10336674,7,2007,0.93,0.09949238578680206,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9919759277833501,0.011022044088176353
T10336674,T10336674,7,2002,4.19,0.09949238578680206,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9919759277833501,0.011022044088176353
T10336674,T10336674,7,2001,1.2,0.09949238578680206,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9919759277833501,0.011022044088176353
T10336674,T10336674,7,1992,0.91,0.09949238578680206,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9919759277833501,0.011022044088176353
T10336674,T10336674,7,1994,0.81,0.09949238578680206,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9919759277833501,0.011022044088176353
T10336674,T10336674,7,2009,3.98,0.09949238578680206,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9919759277833501,0.011022044088176353
T10336674,T10336674,7,1999,19.22,0.09949238578680206,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9919759277833501,0.011022044088176353
T10336676,T10336676,7,1977,1.14,0.10050761421319795,0.0,0.0,1.0,1.0,0.0,0.003006012024048096,0.0,0.9879638916750251,0.007014028056112224
T10336676,T10336676,7,1994,1.1,0.10050761421319795,0.0,0.0,1.0,1.0,0.0,0.003006012024048096,0.0,0.9879638916750251,0.007014028056112224
T10336676,T10336676,7,1985,3.29,0.10050761421319795,0.0,0.0,1.0,1.0,0.0,0.003006012024048096,0.0,0.9879638916750251,0.007014028056112224
T10336676,T10336676,7,2001,1.0,0.10050761421319795,0.0,0.0,1.0,1.0,0.0,0.003006012024048096,0.0,0.9879638916750251,0.007014028056112224
T10336676,T10336676,7,1981,1.39,0.10050761421319795,0.0,0.0,1.0,1.0,0.0,0.003006012024048096,0.0,0.9879638916750251,0.007014028056112224
T10336676,T10336676,7,2008,2.9,0.10050761421319795,0.0,0.0,1.0,1.0,0.0,0.003006012024048096,0.0,0.9879638916750251,0.007014028056112224
T10336676,T10336676,7,2009,4.59,0.10050761421319795,0.0,0.0,1.0,1.0,0.0,0.003006012024048096,0.0,0.9879638916750251,0.007014028056112224
T10336676,T10336676,7,1975,39.19,0.10050761421319795,0.0,0.0,1.0,1.0,0.0,0.003006012024048096,0.0,0.9879638916750251,0.007014028056112224
T10336676,T10336676,7,1990,3.57,0.10050761421319795,0.0,0.0,1.0,1.0,0.0,0.003006012024048096,0.0,0.9879638916750251,0.007014028056112224
T10336676,T10336676,7,1979,8.55,0.10050761421319795,0.0,0.0,1.0,1.0,0.0,0.003006012024048096,0.0,0.9879638916750251,0.007014028056112224
T10336676,T10336676,7,1976,1.61,0.10050761421319795,0.0,0.0,1.0,1.0,0.0,0.003006012024048096,0.0,0.9879638916750251,0.007014028056112224
T10336676,T10336676,7,2004,5.12,0.10050761421319795,0.0,0.0,1.0,1.0,0.0,0.003006012024048096,0.0,0.9879638916750251,0.007014028056112224
T10336676,T10336676,7,1992,1.54,0.10050761421319795,0.0,0.0,1.0,1.0,0.0,0.003006012024048096,0.0,0.9879638916750251,0.007014028056112224
T10336676,T10336676,7,1999,25.46,0.10050761421319795,0.0,0.0,1.0,1.0,0.0,0.003006012024048096,0.0,0.9879638916750251,0.007014028056112224
T10336676,T10336676,7,1987,1.19,0.10050761421319795,0.0,0.0,1.0,1.0,0.0,0.003006012024048096,0.0,0.9879638916750251,0.007014028056112224
T10336676,T10336676,7,2002,5.81,0.10050761421319795,0.0,0.0,1.0,1.0,0.0,0.003006012024048096,0.0,0.9879638916750251,0.007014028056112224
